group_name,state,district_id,district_name,nces_id,exists_in_index,is_orphaned,has_nces,opp_count,opp_revenue,school_count,session_count,session_revenue,course_count,total_revenue,notes
MONTGOMERY COUNTY PUBLIC SCHOOLS,MD,17592284315393,Montgomery County Public Schools,,False,True,False,1,250000,1,0,0,0,250000,Non-canonical pattern -- needs manual review to determine correct merge target
DES MOINES INDEPENDENT COMMUNITY SCHOOL DISTRICT,IA,17592284311380,Des Moines Independent Community School District,,False,True,False,4,240000,1,0,0,0,240000,Non-canonical pattern -- needs manual review to determine correct merge target
GRAND RAPIDS PUBLIC SCHOOLS,MI,17592284311454,Grand Rapids Public Schools,,False,True,False,1,240000,1,0,0,0,240000,Non-canonical pattern -- needs manual review to determine correct merge target
DUMONT SCHOOL DISTRICT,NJ,17592284315839,Dumont School District,,False,True,False,1,240000,0,0,0,0,240000,Non-canonical pattern -- needs manual review to determine correct merge target
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,MD,17592284311479,Anne Arundel County Public Schools,,False,True,False,2,229000,1,0,0,0,229000,Non-canonical pattern -- needs manual review to determine correct merge target
PRINCE WILLIAM COUNTY PUBLIC SCHOOLS,VA,17592284311990,Prince William County Public Schools,,False,True,False,1,225000,1,0,0,0,225000,Non-canonical pattern -- needs manual review to determine correct merge target
URBAN PATHWAYS CHARTER SCHOOL (DISTRICT),PA,17592284313479,Urban Pathways Charter School (District),,False,True,False,1,210908.95,1,0,0,0,210908.95,Non-canonical pattern -- needs manual review to determine correct merge target
CAMDEN COUNTY SCHOOL DISTRICT,GA,17592284313154,Camden County School District,,False,True,False,2,210000,1,0,0,0,210000,Non-canonical pattern -- needs manual review to determine correct merge target
ROXBURY TOWNSHIP SCHOOL DISTRICT,NJ,17592284312839,Roxbury Township School District,,False,True,False,1,200000,0,0,0,0,200000,Non-canonical pattern -- needs manual review to determine correct merge target
ALEXANDRIA CITY PUBLIC SCHOOLS,VA,17592284314636,Alexandria City Public Schools,,False,True,False,1,200000,1,0,0,0,200000,Non-canonical pattern -- needs manual review to determine correct merge target
HENRICO COUNTY PUBLIC SCHOOLS,VA,17592284315077,Henrico County Public Schools,,False,True,False,1,200000,1,0,0,0,200000,Non-canonical pattern -- needs manual review to determine correct merge target
TRIMBLE COUNTY SCHOOLS,KY,17592284316131,Trimble County Schools,,False,True,False,1,200000,1,0,0,0,200000,Non-canonical pattern -- needs manual review to determine correct merge target
SUMNER SCHOOL DISTRICT,WA,17592284319014,Sumner School District,,False,True,False,1,200000,1,0,0,0,200000,Non-canonical pattern -- needs manual review to determine correct merge target
BROWNSVILLE ISD,TX,17592188843551,Brownsville Isd,,False,True,False,5,194990,0,0,0,0,194990,Non-canonical pattern -- needs manual review to determine correct merge target
BURCH CHARTER SCHOOL OF EXCELLENCE,NJ,17592295231658,Burch Charter School of Excellence,17592296987938,True,False,True,1,105000,1,229,89873.22,3,194873.22,Non-canonical pattern -- needs manual review to determine correct merge target
DANVILLE INDEPENDENT SCHOOLS,KY,17592246437275,Danville Independent Schools,,True,False,False,1,97850,6,214,95178.24,2,193028.24,Non-canonical pattern -- needs manual review to determine correct merge target
GREATER JOHNSTOWN,NY,17592238767028,Greater Johnstown,,True,False,False,10,174810,1,2172,9660,54,184470,Non-canonical pattern -- needs manual review to determine correct merge target
WESTMINSTER SCHOOL DISTRICT,CA,17592246346594,Westminster School District,,True,False,False,2,179200,18,446,0,72,179200,Non-canonical pattern -- needs manual review to determine correct merge target
WESTMINSTER SCHOOL DISTRICT,CA,17592188843867,Westminster School District,,False,True,False,2,179200,0,0,0,0,179200,Non-canonical pattern -- needs manual review to determine correct merge target
GREATER JOHNSTOWN,NY,17592191592231,Greater Johnstown,,False,True,False,10,174810,0,0,0,0,174810,Non-canonical pattern -- needs manual review to determine correct merge target
CHARTER SCHOOLS USA-FLORIDA,FL,17592284312119,Charter Schools USA-Florida,,False,True,False,7,172000,0,0,0,0,172000,Non-canonical pattern -- needs manual review to determine correct merge target
FORREST CITY SCHOOL DISTRICT,AR,17592284310960,Forrest City School District,,False,True,False,3,170000,1,0,0,0,170000,Non-canonical pattern -- needs manual review to determine correct merge target
WEST CENTRAL COMMUNITY SCHOOL DISTRICT,IA,17592284313353,West Central Community School District,,False,True,False,1,170000,1,0,0,0,170000,Non-canonical pattern -- needs manual review to determine correct merge target
PAWLING SCHOOL DISTRICT,NY,17592188843576,Pawling School District,,False,True,False,5,165000,0,0,0,0,165000,Non-canonical pattern -- needs manual review to determine correct merge target
OCONEE COUNTY SCHOOL DISTRICT,SC,17592284311081,Oconee County School District,,False,True,False,2,165000,1,0,0,0,165000,Non-canonical pattern -- needs manual review to determine correct merge target
MADISON PARISH SCHOOL BOARD,LA,17592284312064,Madison Parish School Board,,False,True,False,1,160000,1,0,0,0,160000,Non-canonical pattern -- needs manual review to determine correct merge target
GRADY COUNTY SCHOOL DISTRICT,GA,17592284312863,Grady County School District,,False,True,False,1,160000,1,0,0,0,160000,Non-canonical pattern -- needs manual review to determine correct merge target
DICKENSON COUNTY PUBLIC SCHOOLS,VA,17592284313441,Dickenson County Public Schools,,False,True,False,1,160000,1,0,0,0,160000,Non-canonical pattern -- needs manual review to determine correct merge target
LELAND SCHOOL DISTRICT,MS,17592284317136,Leland School District,,False,True,False,1,160000,1,0,0,0,160000,Non-canonical pattern -- needs manual review to determine correct merge target
COFFEE COUNTY SCHOOL DISTRICT,GA,17592284319160,Coffee County School District,,False,True,False,1,160000,1,0,0,0,160000,Non-canonical pattern -- needs manual review to determine correct merge target
DESOTO ISD,TX,17592188843549,DeSoto ISD,,False,True,False,4,159200,0,0,0,0,159200,Non-canonical pattern -- needs manual review to determine correct merge target
ROCHESTER CITY SCHOOL DISTRICT,NY,17592193638888,Rochester City School District,,False,True,False,2,150000,0,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
SAINT LANDRY PARISH SCHOOL BOARD,LA,17592284311664,Saint Landry Parish School Board,,False,True,False,2,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
JACKSON PUBLIC SCHOOL DISTRICT,MS,17592284318793,Jackson Public School District,,False,True,False,2,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
COUNTRY CLUB HILLS SCHOOL DISTRICT 160,IL,17592284310581,Country Club Hills School District 160,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
CHESTERFIELD COUNTY SCHOOL DISTRICT 01,SC,17592284311149,Chesterfield County School District 01,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
MARISSA COMMUNITY UNIT SCHOOL DISTRICT 40,IL,17592284312005,Marissa Community Unit School District 40,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
BOULDER VALLEY SCHOOL DISTRICT NO. RE2,CO,17592284313482,Boulder Valley School District No. Re2,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
SALUDA COUNTY SCHOOL DISTRICT 01,SC,17592284313749,Saluda County School District 01,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
WEST BOLIVAR CONSOLIDATED SCHOOL DISTRICT,MS,17592284315361,West Bolivar Consolidated School District,,False,True,False,1,150000,1,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
RICHLAND SCHOOL DISTRICT,WA,17592284318885,Richland School District,,False,True,False,1,150000,0,0,0,0,150000,Non-canonical pattern -- needs manual review to determine correct merge target
HOWARD LAKE-WAVERLY-WINSTED,MN,17592284311436,Howard Lake-Waverly-Winsted,,False,True,False,1,144000,1,0,0,0,144000,Non-canonical pattern -- needs manual review to determine correct merge target
EAST HARTFORD PUBLIC SCHOOLS,CT,17592284315687,East Hartford Public Schools,,False,True,False,1,140625,1,0,0,0,140625,Non-canonical pattern -- needs manual review to determine correct merge target
JEFFERSON DAVIS COUNTY SCHOOL DISTRICT,MS,17592284312756,Jefferson Davis County School District,,False,True,False,1,140000,1,0,0,0,140000,Non-canonical pattern -- needs manual review to determine correct merge target
COLLEGIATE CHARTER SCHOOL OF LOWELL (DISTRICT),MA,17592284312716,Collegiate Charter School of Lowell (District),,False,True,False,3,139100,1,0,0,0,139100,Non-canonical pattern -- needs manual review to determine correct merge target
MONTICELLO PUBLIC SCHOOL DISTRICT,MN,17592284311254,Monticello Public School District,,False,True,False,2,135000,1,0,0,0,135000,Non-canonical pattern -- needs manual review to determine correct merge target
THOMASVILLE CITY SCHOOL DISTRICT,GA,17592284313290,Thomasville City School District,,False,True,False,2,134444,1,0,0,0,134444,Non-canonical pattern -- needs manual review to determine correct merge target
BAKER COUNTY SCHOOL SYSTEM,GA,17592284310440,Baker County School System,,False,True,False,2,130665.83,1,0,0,0,130665.83,Non-canonical pattern -- needs manual review to determine correct merge target
GAVIN SCHOOL DISTRICT 37,IL,17592284313337,Gavin School District 37,,False,True,False,1,129600,1,0,0,0,129600,Non-canonical pattern -- needs manual review to determine correct merge target
GANANDA SCHOOL DISTRICT,NY,17592188433659,Gananda School District,,False,True,False,6,121625,0,0,0,0,121625,Non-canonical pattern -- needs manual review to determine correct merge target
COLUMBIA COUNTY SCHOOLS,GA,17592294631647,Columbia County Schools,,True,False,False,2,110412.9,32,0,0,0,110412.9,Non-canonical pattern -- needs manual review to determine correct merge target
COLUMBIA COUNTY SCHOOLS,GA,17592284314063,Columbia County Schools,,False,True,False,2,110412.9,0,0,0,0,110412.9,Non-canonical pattern -- needs manual review to determine correct merge target
CENTRAL SQUARE CENTRAL SCHOOL DISTRICT,NY,17592284310873,Central Square Central School District,,False,True,False,2,105000,1,0,0,0,105000,Non-canonical pattern -- needs manual review to determine correct merge target
THORNTON TOWNSHIP HIGH SCHOOL DISTRICT 205,IL,17592246333732,Thornton Township High School District 205,,True,False,False,2,103241.28,6,146,0,9,103241.28,Non-canonical pattern -- needs manual review to determine correct merge target
THORNTON TOWNSHIP HIGH SCHOOL DISTRICT 205,IL,17592187450883,Thornton Township High School District 205,,False,True,False,2,103241.28,0,0,0,0,103241.28,Non-canonical pattern -- needs manual review to determine correct merge target
USU STARS! GEAR UP,UT,17592188843632,USU STARS! GEAR UP,,False,True,False,9,103170,0,0,0,0,103170,Non-canonical pattern -- needs manual review to determine correct merge target
GEAR UP NEW HAMPSHIRE,NH,17592236333687,GEAR UP New Hampshire,,True,False,False,3,100000,6,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
GEAR UP NEW HAMPSHIRE,NH,17592188148838,GEAR UP New Hampshire,,False,True,False,3,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
SIERRA CITY SCHOOL DISTRICT,MN,17592257364066,Sierra City School District,,False,True,False,2,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
RIVER DELL REGIONAL HIGH SCHOOL DISTRICT,NJ,17592284311908,River Dell Regional High School District,,False,True,False,2,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
LEHIGH VALLEY ACADEMY REGIONAL CHARTER SCHOOL (DISTRICT),PA,17592284312035,Lehigh Valley Academy Regional Charter School (District),,False,True,False,2,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
TUNICA COUNTY SCHOOL DISTRICT,MS,17592284310603,Tunica County School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
PENNS VALLEY AREA SCHOOL DISTRICT,PA,17592284310654,Penns Valley Area School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
CULTURAL ARTS ACADEMY CHARTER SCHOOL AT SPRING CREEK (DISTRICT),NY,17592284311013,Cultural Arts Academy Charter School at Spring Creek (District),,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
BROKEN ARROW PUBLIC SCHOOLS,OK,17592284311045,Broken Arrow Public Schools,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
CHICAGO PUBLIC SCHOOLS,IL,17592284311091,Chicago Public Schools,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
DIXIE COUNTY PUBLIC SCHOOLS,FL,17592284311288,Dixie County Public Schools,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
CARMEL CENTRAL SCHOOL DISTRICT,NY,17592284311349,Carmel Central School District,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
GADSDEN CITY SCHOOLS,AL,17592284311788,Gadsden City Schools,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
SOUTH PLAINFIELD SCHOOL DISTRICT,NJ,17592284312629,South Plainfield School District,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
MAINE DEPARTMENT OF EDUCATION,ME,17592284312639,Maine Department of Education,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
CHEROKEE SCHOOL DISTRICT 01,SC,17592284312680,Cherokee School District 01,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
MILFORD SCHOOL DISTRICT,DE,17592284313067,Milford School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
TATE COUNTY SCHOOL DISTRICT,MS,17592284313249,Tate County School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
SOUTHBRIDGE PUBLIC SCHOOLS,MA,17592284313299,Southbridge Public Schools,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
BELCHERTOWN PUBLIC SCHOOLS,MA,17592284313766,Belchertown Public Schools,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
ST. LOUIS PUBLIC SCHOOLS,MO,17592284315158,St. Louis Public Schools,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
COLQUITT COUNTY SCHOOL DISTRICT,GA,17592284317780,Colquitt County School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
MIAMI-DADE COUNTY PUBLIC SCHOOLS,FL,17592284318762,Miami-Dade County Public Schools,,False,True,False,1,100000,0,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
FLORENCE UNIFIED SCHOOL DISTRICT,AZ,17592284319601,Florence Unified School District,,False,True,False,1,100000,1,0,0,0,100000,Non-canonical pattern -- needs manual review to determine correct merge target
DANVILLE INDEPENDENT SCHOOLS,KY,17592246284130,Danville Independent Schools,,False,True,False,1,97850,0,0,0,0,97850,Non-canonical pattern -- needs manual review to determine correct merge target
JOHNSON CITY SCHOOL DISTRICT,NY,17592191704928,Johnson City School District,,False,True,False,2,95485.8,0,0,0,0,95485.8,Non-canonical pattern -- needs manual review to determine correct merge target
FLINT CITY SCHOOL DISTRICT,MI,17592284315229,Flint City School District,,False,True,False,2,93400,1,0,0,0,93400,Non-canonical pattern -- needs manual review to determine correct merge target
NORTH ROCKLAND CENTRAL SCHOOL DISTRICT,NY,17592188084176,North Rockland Central School District,,False,True,False,6,93233,0,0,0,0,93233,Non-canonical pattern -- needs manual review to determine correct merge target
THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,TX,17592236333733,The University of Texas Rio Grande Valley,,True,False,False,17,90570,19,1614,520,304,91090,Non-canonical pattern -- needs manual review to determine correct merge target
THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,TX,17592188053720,The University of Texas Rio Grande Valley,,False,True,False,17,90570,0,0,0,0,90570,Non-canonical pattern -- needs manual review to determine correct merge target
NEW CASTLE COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,DE,17592284318691,New Castle County Vocational-Technical School District,,False,True,False,1,90150,1,0,0,0,90150,Non-canonical pattern -- needs manual review to determine correct merge target
LOCKPORT CITY SCHOOL DISTRICT,NY,17592284310315,Lockport City School District,,False,True,False,1,90000,0,0,0,0,90000,Non-canonical pattern -- needs manual review to determine correct merge target
NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE III (DISTRICT),NY,17592284311598,New Visions Charter High School For Advanced Math And Science III (District),,False,True,False,1,90000,1,0,0,0,90000,Non-canonical pattern -- needs manual review to determine correct merge target
MISSOULA COUNTY DISTRICT,MT,17592284313929,Missoula County District,,False,True,False,1,90000,1,0,0,0,90000,Non-canonical pattern -- needs manual review to determine correct merge target
WELD COUNTY SCHOOL DISTRICT NO. RE-1 GILCREST,CO,17592284317812,Weld County School District No. Re-1 Gilcrest,,False,True,False,1,90000,1,0,0,0,90000,Non-canonical pattern -- needs manual review to determine correct merge target
REGIONAL SCHOOL UNIT 22,ME,17592284312553,Regional School Unit 22,,False,True,False,1,85000,0,0,0,0,85000,Non-canonical pattern -- needs manual review to determine correct merge target
FOREST PARK SCHOOL DISTRICT 91,IL,17592284315146,Forest Park School District 91,,False,True,False,1,85000,1,0,0,0,85000,Non-canonical pattern -- needs manual review to determine correct merge target
MATTESON ELEMENTARY SCHOOL DISTRICT 162,IL,17592284313241,Matteson Elementary School District 162,,False,True,False,1,84400,1,0,0,0,84400,Non-canonical pattern -- needs manual review to determine correct merge target
RYE CITY SCHOOL DISTRICT,NY,17592188522203,Rye City School District,,False,True,False,5,80885,0,0,0,0,80885,Non-canonical pattern -- needs manual review to determine correct merge target
WEST BATON ROUGE PARISH SCHOOL BOARD,LA,17592284310869,West Baton Rouge Parish School Board,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
MILLER COUNTY SCHOOL DISTRICT,GA,17592284311153,Miller County School District,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
WASHINGTON ISLAND SCHOOL DISTRICT,WI,17592284313042,Washington Island School District,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
HOLLANDALE SCHOOL DISTRICT,MS,17592284313665,Hollandale School District,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
BERWYN NORTH SCHOOL DISTRICT 98,IL,17592284314516,Berwyn North School District 98,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
BAY ST LOUIS WAVELAND SCHOOL DISTRICT,MS,17592284315676,Bay St Louis Waveland School District,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
CALHOUN COUNTY SCHOOL DISTRICT,GA,17592284316986,Calhoun County School District,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
ELMHURST SCHOOL DISTRICT 205,IL,17592284317710,Elmhurst School District 205,,False,True,False,1,80000,1,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
HACKENSACK SCHOOL DISTRICT,NJ,17592284317749,Hackensack School District,,False,True,False,1,80000,0,0,0,0,80000,Non-canonical pattern -- needs manual review to determine correct merge target
JORDAN-ELBRIDGE SCHOOL DISTRICT,NY,17592188119803,Jordan-Elbridge School District,,False,True,False,6,79846.25,0,0,0,0,79846.25,Non-canonical pattern -- needs manual review to determine correct merge target
"PROJECT STAY, INC.",TX,17592238767502,"Project Stay, Inc.",,True,False,False,3,68670,1,251,11028.75,28,79698.75,Non-canonical pattern -- needs manual review to determine correct merge target
EARL MONROE NEW RENAISSANCE BASKETBALL SCHOOL,NY,17592297007405,Earl Monroe New Renaissance Basketball School,,True,False,False,2,78333,0,0,0,0,78333,Non-canonical pattern -- needs manual review to determine correct merge target
JEMEZ VALLEY PUBLIC SCHOOLS,NM,17592297178717,Jemez Valley Public Schools,,True,False,False,1,77562.82,4,0,0,0,77562.82,Non-canonical pattern -- needs manual review to determine correct merge target
ADDISON CENTRAL SCHOOL DISTRICT,NY,17592284313602,Addison Central School District,,False,True,False,2,76700,0,0,0,0,76700,Non-canonical pattern -- needs manual review to determine correct merge target
GEAR UP SOAR,KY,17592284312161,Gear Up Soar,,False,True,False,2,75000,0,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
INDIAN PRAIRIE COMMUNITY UNIT SCHOOL DISTRICT 204,IL,17592284312690,Indian Prairie Community Unit School District 204,,False,True,False,2,75000,1,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
GREENWOOD COUNTY SCHOOL DISTRICT 50,SC,17592284316239,Greenwood County School District 50,,False,True,False,2,75000,1,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
NORFOLK CITY PUBLIC SCHOOLS,VA,17592284312334,Norfolk City Public Schools,,False,True,False,1,75000,0,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
TAHOLAH SCHOOL DISTRICT,WA,17592284313686,Taholah School District,,False,True,False,1,75000,1,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
BEECHER COMMUNITY SCHOOL DISTRICT,MI,17592284314801,Beecher Community School District,,False,True,False,1,75000,1,0,0,0,75000,Non-canonical pattern -- needs manual review to determine correct merge target
